TOTAL VEHÍCULOS,,TOTAL EMPRESAS,,TOTAL CONTRATOS,,,,,,,,,,
172,,7,,12,,,BÚSQUEDA DE VEHÍCULOS,,,,,,,
,,,,,,,"Buscador (Unit, VIN, Tag):",1F66F5KNXM0A05147,,,,,,
Terminal,Ciudad,Entity ID,Empresa,Contract Number,Cantidad,Contrato viejo ,Vehicle Make,Vehicle Year,Body Type,VIN,Tag,City,Contract,Entity ID
345,Key West,V0026937,Tequesta Carrier,C8892419,12,,FORD,2021,WALK IN P1200,1F66F5KNXM0A05147,66AZGT,Miami Trieste,C8894066,V0019195
331,Miami Trieste,V0019195,Trieste Express,C8894066,26,,,,,,,,,
331,Miami Turnberry,V0025257,Turnberry Trucking,C8894067,16,,,,,,,,,
338,WPB,V0026063,Tamanaco Delivery,C8892686,13,,,,,,,,,
336,Tampa,V0026937,Tequesta Carrier,C8891367,19,,,,,,,,,
302,Atlanta 302,V0028698,Tibidabo Parcel,C8890137,20,,,,,,,,,
307,Atlanta 307,V0028698,Tibidabo Parcel,C8888487,0,,,,,,,,,
302,Atlanta Turnberry,V0025257,Turnberry Trucking,C8889009,19,,,,,,,,,
311,East Point,V0028698,Tibidabo Parcel,C8888098,6,252,,,,,,,,
337,St Petersburg,V0028131,Toppino Shipping,C8891349,20,,,,,,,,,
336,Tampa Turnberry,V0025257,Turnberry Trucking,C8891368,7,,,,,,,,,
302,,V0034706,Lagasca capital Inc,C8892685,14,,,,,,,,,
,,,,,,,,,,,,,,
#,Unit No.,Vehicle Make,Vehicle Year,Body Type,VIN,Tag,City,Contract,Entity ID:,,,,,
1,13957,INTERNATIONAL,2000,STRAIGHT TRUCK,1HTSCABM1YH241314,KY583K,Miami Trieste,C8894066,V0019195,,,,,
2,14329,INTERNATIONAL,2000,STRAIGHT TRUCK,1HTSCABM9YH229072,HRYF64,Miami Trieste,C8894066,V0019195,,,,,
3,205086,INTERNATIONAL,2001,STRAIGHT TRUCK,1HTSLAAM91H333827,HRYF65,,No encontrado,No encontrado,,,,,
4,15150,INTERNATIONAL,2005,STRAIGHT TRUCK,1HTMPAFM95H148382,HRYF66,Miami Turnberry,C8894067,V0025257,,,,,
5,302668,FREIGHTLINER,2007,WALK IN P1200,4UZAARBW07CY34670,04BHDH,,No encontrado,No encontrado,,,,,
6,200428,INTERNATIONAL,2006,STRAIGHT TRUCK,1HTMMAAM46H180531,87BYWX,Miami Turnberry,C8894067,V0025257,,,,,
7,200655,INTERNATIONAL,2006,STRAIGHT TRUCK,1HTMMAAL26H175092,HRYF69,Miami Turnberry,C8894067,V0025257,,,,,
8,201016,INTERNATIONAL,2006,STRAIGHT TRUCK,1HTMMAAM86H160752,HRYF68,Miami Turnberry,C8894067,V0025257,,,,,
9,324846,FREIGHTLINER,2000,WALK IN P1000,4UZA5FAC7YCG63902,08BHDH,Miami Trieste,C8894066,V0019195,,,,,
10,204417,FREIGHTLINER,2020,STRAIGHT TRUCK,3ALACWFB2LDLX7064,31BDEC,Miami Turnberry,C8894067,V0025257,,,,,
11,463127,FREIGHTLINER,2022,WALK IN P1200,4UZAARFD0NCMW6948,QTVZ90,,No encontrado,No encontrado,,,,,
12,469060,FREIGHTLINER,2021,WALK IN P1200,4UZAC3GAXMCMU2604,QZCH11,Miami Trieste,C8894066,V0019195,,,,,
13,469063,FREIGHTLINER,2021,WALK IN P1200,4UZAC3GA8MCMU2603,QZCH12,Miami Trieste,C8894066,V0019195,,,,,
14,469066,FREIGHTLINER,2021,WALK IN P1200,4UZAC3GA3MCMU2749,QZCH10,Miami Trieste,C8894066,V0019195,,,,,
15,205200,INTERNATIONAL,2021,STRAIGHT TRUCK,3HAEUMML4ML406129,83AFYW,Miami Trieste,C8894066,V0019195,,,,,
